"","Model_4_foehn_days","Model_4_non_foehn_days"
"all","1.137 [0.973-1.329]","0.976 [0.893-1.066]"
"mal","1.090 [0.896-1.326]","1.021 [0.912-1.142]"
"fem","1.200 [0.961-1.499]","0.916 [0.808-1.039]"
"y64","1.148 [0.924-1.426]","1.064 [0.939-1.206]"
"o64","1.132 [0.927-1.383]","0.911 [0.814-1.021]"
"cvd","1.039 [0.818-1.321]","0.968 [0.839-1.116]"
"resp","1.096 [0.835-1.438]","0.846 [0.726-0.986]"
"inf","0.945 [0.713-1.253]","0.930 [0.794-1.089]"
"uri","1.434 [1.079-1.906]","1.166 [0.947-1.435]"
"ment","1.669 [1.227-2.269]","1.234 [1.032-1.476]"
