"","Altdorf","Chur","Davos","Lugano","Magadino","Montana","Poschiavo","Visp"
"Abbreviation","ALT","CHU","DAV","LUG","MAG","MVE","ROB","VIS"
"X Coordinate","46.887042","46.870622","46.812956","46.003833","46.160019","46.298772","46.347194","46.302875"
"Y Coordinate","8.621806","9.530814","9.843492","8.960117","8.933608","7.460761","10.062964","7.842903"
"1 MedStat regions","UR01","GR01","GR09","TI20","TI16","VS12","GR25","VS09"
"2","UR02","GR04","","TI21","TI06","VS15","","VS06"
"3","UR03","GR03","","TI22","TI15","VS16","",""
"4","","","","TI25","TI07","VS19","",""
"5","","","","TI27","TI17","VS13","",""
"6","","","","TI18","","","",""
"7","","","","TI23","","","",""
"8","","","","TI19","","","",""
"9","","","","TI28","","","",""
"10","","","","TI29","","","",""
"11","","","","TI26","","","",""
"12","","","","TI24","","","",""
